DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:0050685	small cell carcinoma	intermediate cell small cell carcinoma|intermediate cell small cell carcinomas|intermediate type sclc|intermediate type small cell lung cancer|intermediate type small cell lung cancers|small cell ca - intermed cell|small cell carcinoma|small cell carcinoma - intermediate cell|small cell carcinomas|small cell intermediate cell carcinoma|small cell intermediate cell carcinomas
DOID:0050688	anal canal cancer	anal canal cancer|anal canal cancers
DOID:0050695	malignant pleural solitary fibrous tumor	malignant pleural solitary fibrous tumor|malignant pleural solitary fibrous tumors|malignant pleural solitary fibrous tumour|malignant pleural solitary fibrous tumours
DOID:0050743	mature T-cell and NK-cell lymphoma	mature t-cell and natural killer cell lymphoma|mature t-cell and natural killer cell lymphomas|mature t-cell and nk-cell lymphoma|mature t-cell and nk-cell lymphomas|nk-t cell lymphoma|nk-t cell lymphomas
DOID:0050744	anaplastic large cell lymphoma	anaplastic large cell lymphoma|anaplastic large cell lymphomas
DOID:0050745	diffuse large B-cell lymphoma	centroblastic diffuse large b-cell malignant lymphoma|centroblastic diffuse large b-cell malignant lymphomas|centroblastic diffuse malignant lymphoma|centroblastic diffuse malignant lymphomas|centroblastic malignant lymphoma|centroblastic malignant lymphomas|diff malig lymphoma-histiocyt|diff malig lymphoma-large cell|diffuse histiocytic lymphoma|diffuse histiocytic lymphomas|diffuse large b cell lymphoma|diffuse large b cell lymphomas|diffuse large b cell malignant lymphoma|diffuse large b cell malignant lymphomas|diffuse large b-cell lymphoma|diffuse large b-cell lymphoma nos|diffuse large b-cell lymphomas|diffuse large cell lymphoma|diffuse large cell lymphomas|diffuse large cleaved cell malignant lymphoma|diffuse large cleaved cell malignant lymphomas|diffuse large lymphoma|diffuse large lymphomas|diffuse large noncleaved cell malignant lymphoma|diffuse large noncleaved cell malignant lymphomas|diffuse large-cell lymphoma|diffuse large-cell lymphomas|diffuse malignant lymphoma - histiocytic|diffuse malignant lymphoma - large cell|dlbcl|dlbcl - diffuse large b cell lymphoma|dlbcl - diffuse large b cell lymphomas|dlbl|histiocytic diffuse malignant lymphoma|histiocytic diffuse malignant lymphomas|histiocytic malignant lymphoma|histiocytic malignant lymphomas|large b-cell malignant lymphoma|large b-cell malignant lymphomas|large cell diffuse lymphoma|large cell diffuse lymphomas|large cell malignant lymphoma|large cell malignant lymphomas|large cleaved cell and noncleaved cell malignant lymphoma|large cleaved cell and noncleaved cell malignant lymphomas|large cleaved cell malignant lymphoma|large cleaved cell malignant lymphomas|large lymphoma diffuse|large noncleaved cell malignant lymphoma|large noncleaved cell malignant lymphomas|lymphoma diffuse large|lymphoma large diffuse|mal lymphom-large cleav+non cl|malignant lymphoma - large cell cleaved and non-cleaved|noncleaved malignant lymphoma|noncleaved malignant lymphomas
DOID:0050746	mantle cell lymphoma	cell lymphoma mantle|centrocytic small-cell lymphoma|centrocytic small-cell lymphomas|classical mantle cell lymphoma|classical mantle cell lymphomas|diffuse lymphocytic lymphoma poorly differ|diffuse pdl lymphoma|diffuse pdl lymphomas|diffuse poorly-differentiated lymphocytic lymphoma|diffuse poorly-differentiated lymphocytic lymphomas|dpdl lymphoma|dpdl lymphomas|lymphocytic lymphoma diffuse poorly differ|lymphoma lymphocytic diffuse intermediate differ|lymphoma lymphocytic diffuse poorly differ|mantle cell lymphoma|mantle cell lymphoma nos|mantle cell lymphomas|mantle zone lymphoma|mantle zone lymphomas|mantle-cell lymphoma|mantle-cell lymphomas|mantle-zone lymphoma|mantle-zone lymphomas
DOID:0050748	marginal zone lymphoma	marginal zone b-cell lymphoma|marginal zone b-cell lymphomas|marginal zone lymphoma|marginal zone lymphomas
DOID:0050749	peripheral T-cell lymphoma	cell lymphomas peripheral t|mature t-cell lymphoma|mature t-cell lymphomas|peripheral t cell lymphoma|peripheral t cell lymphomas|peripheral t-cell lymphoma|peripheral t-cell lymphoma nos|peripheral t-cell lymphoma unspecified|peripheral t-cell lymphoma unspecified nos|peripheral t-cell lymphomas|primary cutaneous peripheral t-cell lymphoma nos|primary cutaneous peripheral t-cell lymphoma not otherwise specified|primary cutaneous unspecified peripheral t-cell lymphoma|primary cutaneous unspecified peripheral t-cell lymphomas|t cell lymphoma|t cell lymphomas|t-cell lymphoma|t-cell lymphomas
DOID:0050750	splenic marginal zone lymphoma	splenic marginal zone lymphoma|splenic marginal zone lymphomas
DOID:0050751	T-cell large granular lymphocyte leukemia	large cell granular lymphoid leukaemia|large cell granular lymphoid leukaemias|large cell granular lymphoid leukemia|large cell granular lymphoid leukemias|large granular lymphocytic leukaemia|large granular lymphocytic leukaemias|large granular lymphocytic leukemia|large granular lymphocytic leukemias|large granular lymphocytoses|large granular lymphocytosis|large granular t-cell lymphocytic leukaemia|large granular t-cell lymphocytic leukaemias|large granular t-cell lymphocytic leukemia|large granular t-cell lymphocytic leukemias|leukaemia lymphocytic chronic t-cell large granular|leukemia lymphocytic chronic t-cell large granular|lgll|proliferation of large granular lymphocytes|t cell large granular lymphocyte leukaemia|t cell large granular lymphocyte leukaemias|t cell large granular lymphocyte leukemia|t cell large granular lymphocyte leukemias|t cell large granular lymphocytic leukaemia|t cell large granular lymphocytic leukaemias|t cell large granular lymphocytic leukemia|t cell large granular lymphocytic leukemias|t gamma lymphoproliferative disorder|t lgl leukaemia|t lgl leukaemias|t lgl leukemia|t lgl leukemias|t-cell large granular lymphocyte leukaemia|t-cell large granular lymphocyte leukaemias|t-cell large granular lymphocyte leukemia|t-cell large granular lymphocyte leukemias|t-cell large granular lymphocytic leukaemia|t-cell large granular lymphocytic leukaemias|t-cell large granular lymphocytic leukemia|t-cell large granular lymphocytic leukemias|t-cell large granular lymphocytosis|t-cell lgl leukaemia|t-cell lgl leukaemias|t-cell lgl leukemia|t-cell lgl leukemias|t-gam lymphoprolif disease|t-gamma lymphoproliferative disease|t-gamma lymphoproliferative disorder|t-lgl|t-lgl leukaemia|t-lgl leukaemias|t-lgl leukemia|t-lgl leukemias
DOID:0050803	glioblastoma classical subtype	glioblastoma classical subtype
DOID:0050804	glioblastoma proneural subtype	glioblastoma proneural subtype
DOID:0050805	glioblastoma mesenchymal subtype	glioblastoma mesenchymal subtype
DOID:0050806	glioblastoma neural subtype	glioblastoma neural subtype
DOID:0050861	colorectal adenocarcinoma	adenocarcinoma of large bowel|adenocarcinoma of large intestine|adenocarcinoma of the large bowel|adenocarcinoma of the large intestine|adenocarcinomas colorectal|colorectal adenocarcinoma|colorectal adenocarcinomas|large bowel adenocarcinoma|large bowel adenocarcinomas
DOID:0050865	tongue squamous cell carcinoma	carcinoma cell squamous tongue|scc - squamous cell carcinoma of tongue|scc of the tongue|scc of tongue|scc-squam cell carcinom tongue|squamous cell carcinoma of the tongue|squamous cell carcinoma of tongue|squamous cell carcinoma tongue|tongue scc|tongue squamous cell carcinoma|tongue squamous cell carcinomas
DOID:0050866	oral squamous cell carcinoma	mouth squamous cell carcinoma|mouth squamous cell carcinomas|oral squamous cell carcinoma|oral squamous cell carcinomas
DOID:0050872	large cell neuroendocrine carcinoma	large cell nec|large cell neuroendocrine carcinoma|large cell neuroendocrine carcinomas|large-cell neuroendocrine carcinoma|large-cell neuroendocrine carcinomas|lcnec
DOID:0050873	follicular lymphoma	follicular lymphoma|follicular lymphomas
DOID:0050892	adrenal gland pheochromocytoma	adrenal gland chromaffin paraganglioma|adrenal gland chromaffin paragangliomas|adrenal gland chromaffinoma|adrenal gland chromaffinomas|adrenal gland paraganglioma|adrenal gland paragangliomas|adrenal gland pheochromocytoma|adrenal gland pheochromocytomas|adrenal medullary paraganglioma|adrenal medullary paragangliomas|adrenal medullary pheochromocytoma|adrenal medullary pheochromocytomas|adrenal neoplasm of uncertain behavior pheochromocytoma|adrenal neoplasm of uncertain behavior pheochromocytomas|adrenal pheochromocytoma|adrenal pheochromocytomas|chromaffin cell neoplasm|chromaffin cell neoplasms|chromaffin paraganglioma|chromaffin paraganglioma of the adrenal gland|chromaffin paragangliomas|chromaffin tumor|chromaffin tumors|chromaffin tumour|chromaffin tumours|chromaffinoma|chromaffinomas|intraadrenal paraganglioma|intraadrenal paragangliomas|phaeochromocytoma|phaeochromocytoma nos|phaeochromocytomas|pheochromocytoma|pheochromocytoma nos|pheochromocytoma syndrome|pheochromocytomas
DOID:0050896	bone squamous cell carcinoma	bone squamous cell carcinoma|bone squamous cell carcinomas
DOID:0050897	bone chondrosarcoma	bone chondrosarcoma|bone chondrosarcomas
DOID:0050899	brain stem medulloblastoma	brain stem medulloblastoma|brain stem medulloblastomas
DOID:0050900	sacrum chordoma	sacrum chordoma|sacrum chordomas
DOID:0050901	corpus callosum oligodendroglioma	corpus callosum oligodendroglioma|corpus callosum oligodendrogliomas
DOID:0050902	medulloblastoma	brain medulloblastoma|brain medulloblastoma tumors|brain medulloblastoma tumours|brain medulloblastomas|central nervous system mass lesions cerebellum medulloblastoma|central nervous system mass lesions cerebellum medulloblastomas|cns pnet|cpnet|infratentorial primitive neuroectodermal tumor|infratentorial primitive neuroectodermal tumors|infratentorial primitive neuroectodermal tumour|infratentorial primitive neuroectodermal tumours|localized primitive neuroectodermal tumor|localized primitive neuroectodermal tumors|localized primitive neuroectodermal tumour|localized primitive neuroectodermal tumours|mdb - medulloblastoma|mdb - medulloblastomas|medulloblastoma|medulloblastoma - category|medulloblastoma brain tumor|medulloblastoma brain tumors|medulloblastoma brain tumour|medulloblastoma brain tumours|medulloblastoma nos|medulloblastoma of cerebellum|medulloblastomas|neopl primitive neuroepithelial|neuroectodermal neoplasm|neuroectodermal neoplasms|neuroectodermal primitive tumors|neuroectodermal primitive tumours|neuroectodermal tumour|neuroectodermal tumours|neuroendocrine tumor medulloblastoma|neuroendocrine tumor medulloblastomas|neuroendocrine tumor primitive neuroectodermal|neuroendocrine tumour medulloblastoma|neuroendocrine tumour medulloblastomas|neuroendocrine tumour primitive neuroectodermal|neuroepithelial neopl primitive|neuroepithelioma|neuroepithelioma nos|neuroepitheliomas|pnet - primit neuroect tumor|pnet - primit neuroect tumors|pnet - primit neuroect tumour|pnet - primit neuroect tumours|pnet - primitive neuroectodermal tumor|pnet - primitive neuroectodermal tumors|pnet - primitive neuroectodermal tumour|pnet - primitive neuroectodermal tumours|pnets|primit neuroectodermal tumr|primitive neuroectodermal neoplasm|primitive neuroectodermal neoplasms|primitive neuroectodermal tum|primitive neuroectodermal tumor|primitive neuroectodermal tumors|primitive neuroectodermal tumour|primitive neuroectodermal tumours|primitive neuroepithelial neopl|primitive neuroepithelial neoplasm|primitive neuroepithelial neoplasms|primitive neuroepithelial tumor|primitive neuroepithelial tumors|primitive neuroepithelial tumour|primitive neuroepithelial tumours
DOID:0050903	parietal lobe ependymoma	parietal lobe ependymoma|parietal lobe ependymomas
DOID:0050904	salivary gland carcinoma	ca major salivary gland|carcinoma gland salivary|carcinoma glands salivary|carcinoma of salivary gland|carcinoma of the salivary gland|salivary carcinoma|salivary carcinomas|salivary gland carcinoma|salivary gland carcinomas
DOID:0050905	inflammatory myofibroblastic tumor	inflamm pseudotumor|inflamm pseudotumors|inflamm pseudotumour|inflamm pseudotumours|inflammatory fibrosarcoma|inflammatory fibrosarcomas|inflammatory myofibroblastic neoplasm|inflammatory myofibroblastic neoplasms|inflammatory myofibroblastic tumor|inflammatory myofibroblastic tumors|inflammatory myofibroblastic tumour|inflammatory myofibroblastic tumours|inflammatory pseudotumor|inflammatory pseudotumors|inflammatory pseudotumour|inflammatory pseudotumours|myofibroblastic tumor|myofibroblastic tumors|myofibroblastic tumour|myofibroblastic tumours|pseudotumor inflamm|pseudotumor inflammatory|pseudotumour inflamm|pseudotumour inflammatory
DOID:0050907	mixed extragonadal germ cell cancer	mixed extragonadal germ cell cancer|mixed extragonadal germ cell cancers
DOID:0050908	myelodysplastic syndrome	998 myelodysplastic syndrome|dysmyelopoiesis|dysmyelopoietic syndrome|dysmyelopoietic syndromes|hematopoetic myelodysplasia|hematopoetic myelodysplasias|mds - myelodysplastic syndrome|myelodysplasia|myelodysplastic neoplasm|myelodysplastic neoplasms|myelodysplastic synd nos|myelodysplastic syndrome|myelodysplastic syndrome nos|myelodysplastic syndrome/neoplasm|myelodysplastic syndrome/neoplasms|myelodysplastic syndromes|myeloid dysplasia|oligoblastic leukaemia|oligoblastic leukaemias|oligoblastic leukemia|oligoblastic leukemias|preleukaemia|preleukaemias|preleukaemic syndrome|preleukemia|preleukemias|preleukemic syndrome|smoldering leukaemia|smoldering leukaemias|smoldering leukemia|smoldering leukemias|smouldering leukaemia|smouldering leukaemias
DOID:0050909	extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue|malt lymphoma|malt lymphoma of the dura|malt lymphomas|mucosa-associated lymphoid tissue lymphoma|mucosa-associated lymphoid tissue lymphomas
DOID:0050911	appendix carcinoid tumor	appendix carcinoid endocrine tumour|appendix carcinoid endocrine tumours|appendix carcinoid tumor|appendix carcinoid tumors|appendix carcinoid tumour|appendix carcinoid tumours
DOID:0050913	large intestine adenocarcinoma	large intestine adenocarcinoma|large intestine adenocarcinomas
DOID:0050916	bronchus mucoepidermoid carcinoma	bronchus mucoepidermoid carcinoma|bronchus mucoepidermoid carcinomas
DOID:0050917	lung combined type small cell adenocarcinoma	lung combined type small cell adenocarcinoma|lung combined type small cell adenocarcinomas
DOID:0050918	vaginal carcinoma	vaginal carcinoma|vaginal carcinomas
DOID:0050919	trachea mucoepidermoid carcinoma	trachea mucoepidermoid carcinoma|trachea mucoepidermoid carcinomas
DOID:0050920	tonsil squamous cell carcinoma	tonsil squamous cell carcinoma|tonsil squamous cell carcinomas
DOID:0050921	pharynx squamous cell carcinoma	pharynx squamous cell carcinoma|pharynx squamous cell carcinomas
DOID:0050922	gastrointestinal carcinoma	carcinoma gastrointestinal|carcinoma of the digestive system|carcinoma of the gastrointestinal system|digestive system carcinoma|digestive system carcinomas|gastrointestinal carcinoma|gastrointestinal carcinomas|gastrointestinal system carcinoma|gastrointestinal system carcinomas|gi carcinoma|gi carcinomas
DOID:0050923	spindle epithelial tumor with thymus-like differentiation tumor	settle tumor|settle tumors|settle tumour|settle tumours|spindle epithelial tumor with thymus-like differentiation tumor|spindle epithelial tumor with thymus-like differentiation tumors|spindle epithelial tumour with thymus-like differentiation tumour|spindle epithelial tumour with thymus-like differentiation tumours
DOID:0050924	striated muscle rhabdoid tumor	striated muscle rhabdoid tumor|striated muscle rhabdoid tumors|striated muscle rhabdoid tumour|striated muscle rhabdoid tumours
DOID:0050925	small intestine carcinoid neuroendocrine tumor	small intestine carcinoid neuroendocrine tumor|small intestine carcinoid neuroendocrine tumors|small intestine carcinoid neuroendocrine tumour|small intestine carcinoid neuroendocrine tumours
DOID:0050926	jejunal adenocarcinoma	jejunal adenocarcinoma|jejunal adenocarcinomas
DOID:0050928	ovarian melanoma	ovarian melanoma|ovarian melanomas
DOID:0050929	mucosal melanoma	mucosal melanoma|mucosal melanomas
DOID:0050930	sublingual gland adenoid cystic carcinoma	sublingual gland adenoid cystic carcinoma|sublingual gland adenoid cystic carcinomas
