DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:11615	penile cancer	ca - cancer of penis|ca penis|cancer of body of penis|cancer of penis|cancer of the penis|cancer penile|cancer penis|malig neo penis body|malig neo penis nos|malig neop body of penis|malig neop penis part unspecif|malign tum of shaft of penis|malign tumor of body of penis|malign tumour of body of penis|malignant neoplasm of body of penis|malignant neoplasm of penis|malignant neoplasm of the penis|malignant penile neoplasm|malignant penile neoplasms|malignant penile tumor|malignant penile tumors|malignant penile tumour|malignant penile tumours|malignant tumor of body of penis|malignant tumor of penis|malignant tumor of shaft of penis|malignant tumor of the penis|malignant tumour of body of penis|malignant tumour of penis|malignant tumour of shaft of penis|malignant tumour of the penis|penile ca|penile cancer|penile cancers|penile malignant neoplasm|penile malignant neoplasm nos|penile malignant neoplasms|penile neoplasm|penile neoplasm malignant body of penis|penile neoplasms|penile neoplasms malignant|penis cancer|penis cancers|penis--cancer|penis--cancers
DOID:117	heart cancer	cardiac cancers|cardiac neopl|cardiac neoplasia|cardiac neoplasm|cardiac neoplasm malignant|cardiac neoplasm malignant nos|cardiac neoplasms|cardiac tumor|cardiac tumors|cardiac tumour|cardiac tumours|heart ca|heart cancer|heart cancers|heart neopl|heart neoplasm|heart neoplasms|heart tumor|heart tumors|heart tumour|heart tumours|heart--tumors|heart--tumours|malig neop heart nos|malignant cardiac neoplasm|malignant cardiac neoplasm nos|malignant cardiac neoplasms|malignant cardiac tumor|malignant cardiac tumors|malignant cardiac tumour|malignant cardiac tumours|malignant heart neoplasm|malignant heart neoplasms|malignant heart tumor|malignant heart tumors|malignant heart tumour|malignant heart tumours|malignant neopl heart|malignant neoplasm of heart|malignant neoplasm of heart nos|malignant neoplasm of the heart|malignant tumor of heart|malignant tumor of the heart|malignant tumour of heart|malignant tumour of the heart|neopl cardiac|neopl heart|neoplasm of heart|neoplasm of the heart|tumor heart|tumor of heart|tumor of the heart|tumour heart|tumour of heart|tumour of the heart
DOID:11746	parametrium malignant neoplasm	cancer of parametrium|malig neo parametrium|malig neop parametrium|malignant neoplasm of parametrium|malignant parametrial neoplasm|malignant parametrial neoplasms|malignant tumor of parametrium|malignant tumour of parametrium|parametrium malignant neoplasm|parametrium malignant neoplasms
DOID:11747	uterine adnexa cancer	ca ovary/other uterine adnexa|mal neo adnexa nos|malig neop ovary/uterine adnex|malig neop uterine adnexa nos|malignant neoplasm of ovary and other uterine adnexa|malignant neoplasm of uterine adnexa|malignant neoplasm of uterine adnexa nos|uterine adnexa cancer|uterine adnexa cancers
DOID:11748	round ligament malignant neoplasm	mal neo round ligament|malig neop round ligament|malignant neoplasm of round ligament|malignant neoplasm of round ligament of uterus|malignant round ligament neoplasm|malignant round ligament neoplasms|malignant tumor of round ligament|malignant tumour of round ligament|round ligament malignant neoplasm|round ligament malignant neoplasms
DOID:11809	bladder neck cancer	bladder neck|bladder neck cancer|bladder neck cancers|mal neo bladder neck|malig neop bladder neck|malign tumor of bladder neck|malign tumour of bladder neck|malignant neoplasm of bladder neck|malignant neoplasm of neck of bladder|malignant neoplasm of urinary bladder neck|malignant tumor of bladder neck|malignant tumor of neck of bladder|malignant tumour of bladder neck|malignant tumour of neck of bladder
DOID:11811	urinary bladder posterior wall cancer	mal neo bladder-post|malig neop post wall bladder|malignant neoplasm of posterior wall of bladder|malignant neoplasm of posterior wall of urinary bladder|malignant tumor of posterior wall of bladder|malignant tumour of posterior wall of bladder|urinary bladder posterior wall cancer|urinary bladder posterior wall cancers
DOID:11812	bladder sarcoma	bladder sarcoma|bladder sarcomas|sarcoma bladder|sarcoma of bladder|sarcoma of the bladder|sarcoma of the urinary bladder|sarcoma of urinary bladder|urinary bladder sarcoma|urinary bladder sarcomas
DOID:11813	bladder trigone cancer	bladder trigone cancer|bladder trigone cancers|mal neo bladder-trigone|malig neop trigone of bladder|malign tum trigone urin bladdr|malignant neoplasm of trigone of bladder|malignant neoplasm of trigone of urinary bladder|malignant tumor of trigone of bladder|malignant tumor of trigone of urinary bladder|malignant tumour of trigone of bladder|malignant tumour of trigone of urinary bladder|trigone of bladder
DOID:11814	urinary bladder anterior wall cancer	mal neo bladder-anterior|malig neop ant wall bladder|malignant neoplasm of anterior wall of bladder|malignant neoplasm of anterior wall of urinary bladder|malignant tumor of anterior wall of bladder|malignant tumour of anterior wall of bladder|urinary bladder anterior wall cancer|urinary bladder anterior wall cancers
DOID:11817	urachus cancer	malig neo urachus|malignant neoplasm of urachus|malignant tumor of urachus|malignant tumour of urachus|urachus|urachus cancer|urachus cancers
DOID:11818	ureteric orifice cancer	cancer of ureteral orifice|cancer of ureteric orifice|mal neo ureteric orifice|malig neop ureteric orifice|malig tumor ureteric orifice|malig tumour ureteric orifice|malignant neoplasm of ureteric orifice|malignant neoplasm of ureteric orifice of urinary bladder|malignant tumor of ureteric orifice|malignant tumour of ureteric orifice|orifice of the ureter|ureteral opening|ureteric orifice cancer|ureteric orifice cancers
DOID:11819	ureter cancer	cancer of the ureter|cancer of ureter|cancer ureter|malign neopl ureter|malignant neoplasm of the ureter|malignant neoplasm of ureter|malignant neosplasm of the ureter|malignant tumor of the ureter|malignant tumor of ureter|malignant tumour of the ureter|malignant tumour of ureter|malignant ureter neoplasm|malignant ureter neoplasms|malignant ureter tumor|malignant ureter tumors|malignant ureter tumour|malignant ureter tumours|malignant ureteral neoplasm|malignant ureteral neoplasms|malignant ureteral tumor|malignant ureteral tumors|malignant ureteral tumour|malignant ureteral tumours|ureter ca|ureter cancer|ureter cancers|ureteral cancer|ureteral cancers|ureteric cancer|ureteric cancer nos|ureteric cancers|ureters--cancer|ureters--cancers
DOID:11820	bladder dome cancer	bladder dome cancer|bladder dome cancers|dome of the bladder|mal neo bladder-dome|malig neop dome of bladder|malig neop vault of bladder|malign tumor vault of bladder|malign tumour vault of bladder|malignant neoplasm of apex of urinary bladder|malignant neoplasm of dome of bladder|malignant neoplasm of dome of urinary bladder|malignant neoplasm of vault of bladder|malignant tum of bladder dome|malignant tumor of bladder dome|malignant tumor of dome of bladder|malignant tumor of vault of bladder|malignant tumour of bladder dome|malignant tumour of dome of bladder|malignant tumour of vault of bladder|superior surface of bladder|superior surface of the bladder
DOID:11821	bladder lymphoma	bladder lymphoma|bladder lymphomas|lymphoma of bladder|lymphoma of the bladder|lymphoma of the urinary bladder|lymphoma of urinary bladder|primary bladder lymphoma|primary bladder lymphomas|urinary bladder lymphoma|urinary bladder lymphomas
DOID:11838	penis sarcoma	penile sarcoma|penile sarcomas|penis sarcoma|penis sarcomas|sarcoma of penis|sarcoma of the penis
DOID:11839	glans penis cancer	cancer of glans penis|glans penis cancer|glans penis cancers|malig neo glans penis|malig neop glans penis|malignant neoplasm glans penis|malignant neoplasm of glans penis|malignant tumor of glans penis|malignant tumour of glans penis|malignnt tumor of glans penis|malignnt tumour of glans penis|penile neoplasm malignant glans penis
DOID:11889	female breast nipple and areola cancer	female breast nipple and areola cancer|female breast nipple and areola cancers|malig neo nipple|malignant neoplasm of nipple and areola of female breast|malignant neoplasm of nipple or areola of female breast|malignant neoplasm of nipple or areola of female breast nos|malignant tumor of nipple or areola of female breast|malignant tumour of nipple or areola of female breast
DOID:119	vaginal cancer	cancer of the vagina|cancer of vagina|cancer vagina|cancer vaginal|malig neop vagina nos|malign neopl vagina|malignant neoplasm of the vagina|malignant neoplasm of vagina|malignant neoplasm of vagina nos|malignant tumor of the vagina|malignant tumor of vagina|malignant tumour of the vagina|malignant tumour of vagina|malignant vagina neoplasm|malignant vagina neoplasms|malignant vagina tumor|malignant vagina tumors|malignant vagina tumour|malignant vagina tumours|malignant vaginal neoplasm|malignant vaginal neoplasms|malignant vaginal tumor|malignant vaginal tumors|malignant vaginal tumour|malignant vaginal tumours|neopl vaginal|neoplasm of the vagina|neoplasm of vagina|tumor of the vagina|tumor of vagina|tumors vagina|tumour of the vagina|tumour of vagina|tumours vagina|vagina cancer|vagina cancers|vagina neopl|vagina neoplasm|vagina neoplasms|vagina tumor|vagina tumors|vagina tumour|vagina tumours|vagina--cancer|vagina--cancers|vaginal cancer|vaginal cancer nos|vaginal cancers|vaginal neopl|vaginal neoplasm|vaginal neoplasm malignant|vaginal neoplasm nos|vaginal neoplasms|vaginal neoplasms malignant|vaginal tumor|vaginal tumors|vaginal tumour|vaginal tumours
DOID:11905	labium majus cancer	labium majus cancer|labium majus cancers|mal neo labia majora|malig neop labia majora|malig neop labia majora nos|malignant labia majora neoplasm|malignant labia majora neoplasms|malignant labia majora tumor|malignant labia majora tumors|malignant labia majora tumour|malignant labia majora tumours|malignant neoplasm of labia majora|malignant neoplasm of labia majora nos|malignant neoplasm of labium majus|malignant neoplasm of the labia majora|malignant tumor of labia majora|malignant tumor of the labia majora|malignant tumour of labia majora|malignant tumour of the labia majora
DOID:1192	peripheral nervous system neoplasm	954-957 nerve sheath tumors|954-957 nerve sheath tumours|neopl nerve sheath|neoplasm of nerve sheath|neoplasm of peripheral nerve|neoplasm of peripheral nervous system|neoplasm of pns|neoplasm of the nerve sheath|neoplasm of the peripheral nerve|neoplasm of the peripheral nervous system|neoplasm of the pns|nerve neoplasms peripheral|nerve sheath neopl|nerve sheath neoplasm|nerve sheath neoplasms|nerve sheath tumor|nerve sheath tumor nos|nerve sheath tumors|nerve sheath tumour|nerve sheath tumour nos|nerve sheath tumours|nerves peripheral tumours|peripheral nerve neopl|peripheral nerve neoplasm|peripheral nerve neoplasms|peripheral nerve tumor|peripheral nerve tumors|peripheral nerve tumour|peripheral nerve tumours|peripheral nervous system neoplasm|peripheral nervous system neoplasm nos|peripheral nervous system neoplasms|peripheral nervous system tumor|peripheral nervous system tumors|peripheral nervous system tumour|peripheral nervous system tumours|pns neopl|pns neoplasm|pns neoplasms|pns tumor|pns tumors|pns tumour|pns tumours|sheath nerve tumor|sheath nerve tumors|sheath nerve tumour|sheath nerve tumours|tumor nerve sheath|tumor of nerve sheath|tumor of peripheral nerve|tumor of peripheral nervous system|tumor of pns|tumor of the peripheral nerve|tumor of the peripheral nervous system|tumor of the pns|tumors of the nerve sheath|tumour nerve sheath|tumour of nerve sheath|tumour of peripheral nerve|tumour of peripheral nervous system|tumour of pns|tumour of the peripheral nerve|tumour of the peripheral nervous system|tumour of the pns|tumours of the nerve sheath
DOID:11920	tracheal cancer	ca - cancer of trachea|ca trachea|cancer tracheal|malig neop trachea nos|malignant neo trachea|malignant neoplasm of the trachea|malignant neoplasm of trachea|malignant neoplasm of trachea nos|malignant neosplasm of the trachea|malignant trachea neoplasm|malignant trachea neoplasms|malignant trachea tumor|malignant trachea tumors|malignant trachea tumour|malignant trachea tumours|malignant tracheal neoplasm|malignant tracheal neoplasms|malignant tracheal tumor|malignant tracheal tumors|malignant tracheal tumour|malignant tracheal tumours|malignant tumor of the trachea|malignant tumor of trachea|malignant tumour of the trachea|malignant tumour of trachea|trachea cancer malignant|tracheal cancer|tracheal cancers
DOID:11934	head and neck cancer	head and neck cancer|head and neck cancers|head and neck neoplasm|head and neck neoplasms|head and neck tumor|head and neck tumors|head and neck tumour|head and neck tumours|head neck neopl|head neck neoplasms|head neck tumor|head neck tumors|head neck tumour|head neck tumours|head or neck neoplasm|head or neck neoplasms|head/neck neoplasm|head/neck neoplasms|neopl head neck|neoplasm of head and neck|neoplasm of head and/or neck|neoplasm of the head and neck|tumor of head and neck|tumor of the head and neck|tumour of head and neck|tumour of the head and neck
DOID:120	female reproductive organ cancer	cancer gynecologic|cancers female reproductive|cancers gynecologic|female genital neopl|female genital neoplasm|female genital neoplasms|female neoplasm reproductive|female reproductive cancer|female reproductive cancers|female reproductive neoplasm|female reproductive neoplasm malignant nos|female reproductive neoplasm nos|female reproductive neoplasms|female reproductive organ cancer|female reproductive organ cancers|female reproductive system cancer|female reproductive system cancers|female reproductive system neoplasm|female reproductive system neoplasms|female reproductive system tumor|female reproductive system tumors|female reproductive system tumour|female reproductive system tumours|female reproductive tract neoplasm nos|genital neopl female|gynecol neopl|gynecologic cancer|gynecologic cancers|gynecologic neoplasm|gynecologic neoplasms|gynecologic tumor|gynecologic tumors|gynecologic tumour|gynecologic tumours|malig neop of other and unspecified female genital organs|malig neop oth female genital|malignant female reproductive system neoplasm|malignant female reproductive system neoplasms|malignant female reproductive system tumor|malignant female reproductive system tumors|malignant female reproductive system tumour|malignant female reproductive system tumours|malignant gynecologic neoplasm|malignant gynecologic neoplasms|malignant gynecologic tumor|malignant gynecologic tumors|malignant gynecologic tumour|malignant gynecologic tumours|malignant neoplasm of female genital organ|malignant neoplasm of female reproductive system|malignant neoplasm of other and unsp female genital organs|malignant neoplasm of other and unspecified female genital organs|malignant neoplasm of the female reproductive system|malignant tumor of female reproductive system|malignant tumor of the female reproductive system|malignant tumour of female reproductive system|malignant tumour of the female reproductive system|neopl female genital|neopl gynecol|neoplasm of female genital organ|neoplasm of female reproductive system|neoplasm of the female genital system|neoplasm of the female reproductive system|tumor female genital organs|tumor of female genital organs|tumor of female reproductive system|tumor of the female reproductive system|tumour female genital organs|tumour of female genital organs|tumour of female reproductive system|tumour of the female reproductive system
DOID:12001	tracheal lymphoma	lymphoma of the trachea|lymphoma of trachea|primary tracheal lymphoma|primary tracheal lymphomas|tracheal lymphoma|tracheal lymphomas
DOID:12002	trachea sarcoma	sarcoma of the trachea|sarcoma of trachea|trachea sarcoma|trachea sarcomas|tracheal sarcoma|tracheal sarcomas
DOID:12003	trachea squamous cell carcinoma	epidermoid carcinoma of the trachea|epidermoid carcinoma of trachea|squam cell carcinoma trachea|squamous cell carcinoma of the trachea|squamous cell carcinoma of trachea|trachea epidermoid carcinoma|trachea epidermoid carcinomas|trachea squamous cell carcinoma|trachea squamous cell carcinomas|tracheal epidermoid carcinoma|tracheal epidermoid carcinomas|tracheal squamous cell carcinoma|tracheal squamous cell carcinomas
DOID:1201	trigeminal nerve neoplasm	cranial nerve v neoplasms|cranial nerve v tumors|cranial nerve v tumours|fifth cranial nerve neoplasm|fifth cranial nerve neoplasms|fifth cranial nerve tumor|fifth cranial nerve tumors|fifth cranial nerve tumour|fifth cranial nerve tumours|neoplasm of fifth cranial nerve|neoplasm of the fifth cranial nerve|neoplasm of the trigeminal nerve|neoplasm of trigeminal nerve|trigeminal nerve neoplasm|trigeminal nerve neoplasms|trigeminal nerve tumor|trigeminal nerve tumors|trigeminal nerve tumour|trigeminal nerve tumours|tumor of fifth cranial nerve|tumor of the fifth cranial nerve|tumor of the trigeminal nerve|tumor of trigeminal nerve|tumour of fifth cranial nerve|tumour of the fifth cranial nerve|tumour of the trigeminal nerve|tumour of trigeminal nerve
DOID:12016	frontal lobe neoplasm	frontal lobe neoplasm|frontal lobe neoplasms|frontal lobe tumor|frontal lobe tumors|frontal lobe tumour|frontal lobe tumours|malig neo frontal lobe|malig neop frontal lobe|malignant neoplasm of frontal lobe|malignant neoplasm of frontal lobe of brain|malignant tumor of frontal lobe of brain|malignant tumour of frontal lobe of brain|neoplasm of frontal lobe|neoplasm of frontal lobe of brain|neoplasm of the frontal lobe|tumor of frontal lobe|tumor of the frontal lobe|tumour of frontal lobe|tumour of the frontal lobe
DOID:12064	mediastinum neurofibroma	mediastinal neurofibroma|mediastinal neurofibromas|mediastinum neurofibroma|mediastinum neurofibromas|neurofibroma of mediastinum|neurofibroma of the mediastinum
DOID:12190	descending colon cancer	ca descending colon|cancer of descending colon|descending colon cancer|descending colon cancers|mal neo descend colon|malig neop of descending colon|malign tumor descending colon|malign tumour descending colon|malignant neoplasm of descending colon|malignant neoplasm of left colon|malignant tumor of descending colon|malignant tumour of descending colon
DOID:12191	splenic flexure cancer	ca splenic flexure - colon|cancer of splenic flexure|mal neo splenic flexure|malig neop splenic flex colon|malign tumor splenic flexure|malign tumour splenic flexure|malignant neoplasm of splenic flexure|malignant neoplasm of splenic flexure of colon|malignant tumor of splenic flexure|malignant tumour of splenic flexure|splenic flexure|splenic flexure cancer|splenic flexure cancers|splenic flexure colon cancer|splenic flexure colon cancers
DOID:12192	sigmoid colon cancer	ca sigmoid colon|cancer colon sigmoid|cancer of sigmoid|cancer of the sigmoid|cancer sigmoid|cancer sigmoid colon|mal neo sigmoid colon|malig neop of sigmoid colon|malignant neoplasm of sigmoid colon|malignant tumor of sigmoid colon|malignant tumor sigmoid colon|malignant tumour of sigmoid colon|malignant tumour sigmoid colon|sigmoid cancer|sigmoid cancers|sigmoid colon cancer|sigmoid colon cancers|sigmoidal cancer|sigmoidal cancers
DOID:12239	anal margin squamous cell carcinoma	anal margin squamous cell carcinoma|anal margin squamous cell carcinomas|perianal skin squamous cell carcinoma|perianal skin squamous cell carcinomas|scc - squamous cell carcinoma of anal margin|scc-sq cell carcin anal margin|squam cell carcin anal margin|squamous cell carcinoma of anal margin|squamous cell carcinoma of the anal margin
DOID:12253	testicular lymphoma	lymphoma of testis|lymphoma of the testis|malignant lymphoma of testis|primary testicular lymphoma|primary testicular lymphomas|testicular lymphoma|testicular lymphomas
DOID:12276	malignant tumor of undescended testis	cancer intra-abdominal testis|cancer of intra-abdominal testis|cancer of undescended testis|mal neo undescend testis|mal tumor of retained testis|mal tumour of retained testis|malig neop retained testis|malig neop undesc testis nos|malig neop undescended testis|malignant neoplasm of retained testis|malignant neoplasm of undescended testis|malignant neoplasm of undescended testis nos|malignant tumor of retained testis|malignant tumor of udt|malignant tumor of undescended testis|malignant tumour of retained testis|malignant tumour of udt|malignant tumour of undescended testis|undescended testis
DOID:12286	testicular leukemia	testicular leukaemia|testicular leukaemias|testicular leukemia|testicular leukemias
DOID:12298	intrahepatic gall duct cancer	ca intrahepatic bile ducts|intrahepatic bile duct cancer|intrahepatic bile duct cancer nos|intrahepatic bile duct cancers|intrahepatic gall duct cancer|intrahepatic gall duct cancers|mal neo intrahepat ducts|malig neop intrahep bil passag|malig neop intrahep bile ducts|malig neop intrahep ducts nos|malig neop intrahep gall duct|malignant neoplasm of intrahepatic bile duct|malignant neoplasm of intrahepatic bile ducts|malignant neoplasm of intrahepatic bile ducts nos|malignant neoplasm of intrahepatic biliary passages|malignant neoplasm of intrahepatic gall duct|malignant tumor of intrahepatic bile duct|malignant tumour of intrahepatic bile duct
DOID:12339	retroperitoneal lymphoma	primary retroperitoneal lymphoma|primary retroperitoneal lymphomas|retroperitoneal lymphoma|retroperitoneal lymphomas
DOID:12341	retroperitoneal sarcoma	retroperitoneal sarcoma|retroperitoneal sarcomas|sarcoma of retroperitoneum|sarcoma retroperitoneal
DOID:12342	retroperitoneum carcinoma	carcinoma of retroperitoneum|carcinoma of the retroperitoneum|retroperitoneal carcinoma|retroperitoneal carcinomas|retroperitoneum carcinoma|retroperitoneum carcinomas
DOID:1240	leukemia	980-994 leukaemias|980-994 leukemias|all types of leukaemia|all types of leukaemias|all types of leukemia|all types of leukemias|leucocythaemia|leucocythaemias|leucocythemia|leucocythemias|leukaemia|leukaemia morphology|leukaemia nos|leukaemia of unspecified cell type|leukaemia type|leukaemia types|leukaemia unspecified|leukaemias|leukaemias types|leukaemias unspecified|leukemia|leukemia morphology|leukemia nos|leukemia of unspecified cell type|leukemia type|leukemia types|leukemia unspecified|leukemias|leukemias types|leukemias unspecified|type leukaemia|type leukaemias|type leukemia|type leukemias|types leukaemia|types leukaemias|types leukemia|types leukemias|unspecif. cell type leukaemia|unspecif. cell type leukaemias|unspecif. cell type leukemia|unspecif. cell type leukemias|unspecified leukaemia|unspecified leukaemia without mention of remission|unspecified leukaemias|unspecified leukemia|unspecified leukemia without mention of remission|unspecified leukemias
DOID:1243	labia minora cancer	labia minora cancer|labia minora cancers|mal neo labia minora|malig neop labia minora|malignant labia minora neoplasm|malignant labia minora neoplasms|malignant labia minora tumor|malignant labia minora tumors|malignant labia minora tumour|malignant labia minora tumours|malignant neoplasm of labia minora|malignant neoplasm of labium minus|malignant neoplasm of the labia minora|malignant tumor of labia minora|malignant tumor of the labia minora|malignant tumour of labia minora|malignant tumour of the labia minora
DOID:1245	vulva cancer	ca vulva|cancer of the vulva|cancer of vulva|cancer vulva|cancer vulvar|malig neop vulva unspecified|malign neopl vulva nos|malignant neoplasm of the vulva|malignant neoplasm of vulva|malignant neoplasm of vulva unspecified|malignant tumor of the vulva|malignant tumor of vulva|malignant tumour of the vulva|malignant tumour of vulva|malignant vulva neoplasm|malignant vulva neoplasms|malignant vulva tumor|malignant vulva tumors|malignant vulva tumour|malignant vulva tumours|malignant vulvar neoplasm|malignant vulvar neoplasms|malignant vulvar tumor|malignant vulvar tumors|malignant vulvar tumour|malignant vulvar tumours|neopl vulvar|neoplasm of the vulva|neoplasm of vulva|neoplasm vulva|tumor of the vulva|tumor of vulva|tumor vulva|tumors vulva|tumour of the vulva|tumour of vulva|tumour vulva|tumours vulva|vulva cancer|vulva cancers|vulva neopl|vulva neoplasm|vulva neoplasms|vulva tumor|vulva tumors|vulva tumour|vulva tumours|vulva--cancer|vulva--cancers|vulval ca|vulval cancer|vulval cancer nos|vulval cancers|vulval neoplasm|vulval neoplasm nos|vulval neoplasms|vulvar cancer|vulvar cancers|vulvar neopl|vulvar neoplasm|vulvar neoplasm malignant|vulvar neoplasms|vulvar tumor|vulvar tumors|vulvar tumour|vulvar tumours
DOID:12603	acute leukemia	acute leukaemia|acute leukaemia nos|acute leukaemia not otherwise specified|acute leukaemia of unspecified cell type|acute leukaemias|acute leukemia|acute leukemia nos|acute leukemia not otherwise specified|acute leukemia of unspecified cell type|acute leukemias|leukaemia acute|leukaemia stem cell|leukaemia undifferentiated|leukemia acute|leukemia stem cell|leukemia undifferentiated|stem cell acute leukaemia|stem cell acute leukaemias|stem cell acute leukemia|stem cell acute leukemias|stem cell leukaemia|stem cell leukaemias|stem cell leukemia|stem cell leukemias|undifferentiated leukaemia|undifferentiated leukaemias|undifferentiated leukemia|undifferentiated leukemias
DOID:12756	lacrimal duct cancer	lacrimal duct cancer|lacrimal duct cancers|mal neo lacrimal duct|malig neop lacrimal duct nos|malignant lacrimal duct neoplasm|malignant lacrimal duct neoplasms|malignant lacrimal duct tumor|malignant lacrimal duct tumors|malignant lacrimal duct tumour|malignant lacrimal duct tumours|malignant nasolacrimal duct neoplasm|malignant nasolacrimal duct neoplasms|malignant neoplasm of lacrimal duct|malignant neoplasm of lacrimal duct nos|malignant neoplasm of the lacrimal duct|malignant tumor of lacrimal duct|malignant tumor of the lacrimal duct|malignant tumour of lacrimal duct|malignant tumour of the lacrimal duct
DOID:12759	choroid cancer	choroid cancer|choroid cancers|choroid neopl|choroid neoplasm|choroid neoplasms|choroid tumor|choroid tumors|choroid tumour|choroid tumours|choroidal neopl|choroidal neoplasm|choroidal neoplasms|choroidal tumor|choroidal tumors|choroidal tumour|choroidal tumours|eye neoplasm choroid|malign neopl choroid|malignant choroid neoplasm|malignant choroid neoplasms|malignant choroid tumor|malignant choroid tumors|malignant choroid tumour|malignant choroid tumours|malignant neoplasm of choroid|malignant neoplasm of choroid of eye|malignant neoplasm of the choroid|malignant tumor of choroid|malignant tumor of the choroid|malignant tumour of choroid|malignant tumour of the choroid|neoplasm choroid|neoplasm of choroid|neoplasm of the choroid|tumor of choroid|tumor of the choroid|tumour of choroid|tumour of the choroid
DOID:1293	labia minora carcinoma	carcinoma of labia minora|carcinoma of the labia minora|labia minora carcinoma|labia minora carcinomas
DOID:1294	vulva carcinoma	carcinoma of the vulva|carcinoma of vulva|carcinoma vulva|carcinoma vulvar|vulva carcinoma|vulva carcinomas|vulvar carcinoma|vulvar carcinomas
DOID:12965	subleukemic leukemia	subleukemic leukaemia|subleukemic leukaemias|subleukemic leukemia|subleukemic leukemias
DOID:12969	central nervous system leukemia	central nervous system leukaemia|central nervous system leukaemias|central nervous system leukemia|central nervous system leukemias|cns leukaemia|cns leukaemias|cns leukemia|cns leukemias|leukaemia of central nervous system|leukaemia of cns|leukaemia of the central nervous system|leukaemia of the cns|leukemia of central nervous system|leukemia of cns|leukemia of the central nervous system|leukemia of the cns
DOID:12972	intrapelvic lymph node leukemic reticuloendotheliosis	hairy cell leukaemia of intrapelvic site|hairy cell leukemia of intrapelvic site|hairy-cell leukem pelvic|intrapelvic lymph node leukemic reticuloendotheliosis|leukaem.reticuloend.-intrapelv|leukaemic reticuloendotheliosis involving intrapelvic lymph nodes|leukaemic reticuloendotheliosis of intrapelvic lymph nodes|leukemic reticuloendotheliosis involving intrapelvic lymph nodes|leukemic reticuloendotheliosis of intrapelvic lymph nodes
DOID:12984	vagus nerve neoplasm	neoplasm of tenth cranial nerve|neoplasm of the tenth cranial nerve|neoplasm of the vagus nerve|neoplasm of vagus nerve|tenth cranial nerve neoplasm|tenth cranial nerve neoplasms|tenth cranial nerve tumor|tenth cranial nerve tumors|tenth cranial nerve tumour|tenth cranial nerve tumours|tumor of tenth cranial nerve|tumor of the tenth cranial nerve|tumor of the vagus nerve|tumor of vagus nerve|tumour of tenth cranial nerve|tumour of the tenth cranial nerve|tumour of the vagus nerve|tumour of vagus nerve|vagus nerve neoplasm|vagus nerve neoplasms|vagus nerve tumor|vagus nerve tumors|vagus nerve tumour|vagus nerve tumours|xth cranial nerve neoplasms|xth cranial nerve tumors|xth cranial nerve tumours
DOID:13005	intra-abdominal lymph node mast cell malignancy	intra-abdominal lymph node mast cell malignancy|mal mastocytosis abdom|malignant mast cell tumors involving intra-abdominal lymph nodes|malignant mast cell tumours involving intra-abdominal lymph nodes|malignant mastocytosis of intra-abdominal lymph nodes|mast cell malignancy of intra-abdominal lymph nodes|mast cell malignancy of lymph nodes intra-abdominal|mast cell malignancy-intra-abd
DOID:13159	scrotum squamous cell carcinoma	scrotal squamous cell carcinoma|scrotal squamous cell carcinomas|scrotum squamous cell carcinoma|scrotum squamous cell carcinomas|squam cell carcinoma scrotum|squamous cell carcinoma of scrotum|squamous cell carcinoma of the scrotum
DOID:13160	scrotum melanoma	melanoma of scrotum|melanoma of the scrotum|scrotal melanoma|scrotal melanomas|scrotum melanoma|scrotum melanomas
DOID:13168	prepuce cancer	cancer of foreskin|malign neopl prepuce|malignant neoplasm of foreskin|malignant neoplasm of prepuce|malignant tumor of foreskin|malignant tumor of prepuce|malignant tumour of foreskin|malignant tumour of prepuce|penile neoplasm malignant prepuce|prepuce cancer|prepuce cancers|prepuce malignant neoplasm|prepuce malignant neoplasms
DOID:13169	spermatic cord cancer	mal neo spermatic cord|malig neop spermatic cord|malign tumor spermatic cord|malign tumour spermatic cord|malignant neoplasm of spermatic cord|malignant neoplasm of the spermatic cord|malignant spermatic cord neoplasm|malignant spermatic cord neoplasms|malignant spermatic cord tumor|malignant spermatic cord tumors|malignant spermatic cord tumour|malignant spermatic cord tumours|malignant tumor of spermatic cord|malignant tumor of the spermatic cord|malignant tumour of spermatic cord|malignant tumour of the spermatic cord|spermatic cord ca|spermatic cord cancer|spermatic cord cancers
